id;Label;Year;Nationality;Weight
368;Richard Zink;;Nederlandse;1
369;Kees van Dijkhuizen;1955;Nederlandse;1
370;Douwe van der Werf;1955;Nederlandse;1
371;Chris Campbell;;Britse;1
372;Jos Nijhuis;1957;Nederlandse;1
373;Edwin van Es;;;1
374;Gijsbert de Zoeten;;Nederlandse;1
375;Sacha Engels;1961;Nederlandse;1
376;Franca Vossen;;;1
377;Eric Drok;1960;Nederlandse;1
378;Ernst Ligthart;1969;Nederlandse;1
379;Henri van der Kamp;1960;Nederlandse;1
380;Dick Boers;1966;;1
381;Manfred Mautner Markhof;1952;Oostenrijkse;1
382;Roy Mackenzie;;;1
383;Peter de Wit;1949;Nederlandse;1
384;Dion Weisler;;;1
385;Frans Keurentjes;1957;Nederlandse;1
386;Guus van Puijenbroek;1975;Nederlandse;1
387;Gerrit Bruggeman;;Nederlandse;1
388;Dick van Well;1948;Nederlandse;1
389;Annette Mosman;1967;Nederlandse;1
390;Jan van Zeeland;1946;Nederlandse;1
391;Byron Grote;1948;Amerikaanse;1
392;Bart Oprel;1966;Nederlandse;1
393;Harry Wolters;;;1
394;Paul Sheffield;;Engelse;1
395;Jeanine Helthuis;1962;Nederlandse;1
396;Feike Sijbesma;1959;Nederlandse;1
397;Eric Jackson;1952;Canadese;1
398;Patrick de Maeseneire;1957;Belgische;1
399;Jean-Marc Huët;1969;Nederlandse;1
400;Hans van Gool;;Nederlandse;1
401;Frans Eelkman Rooda;1952;Nederlandse;1
402;Michel Verwoest;1969;Nederlandse;1
403;Alexander Baas;1966;Nederlandse;1
404;John Rishton;1958;Britse;1
405;Christopher Wright;;;1
406;Ralph Hamers;1966;Nederlandse;1
407;Jerome Guiraud;1961;Franse;1
408;Theo van der Raadt;1953;Nederlandse;1
409;Nassef Sawiris;1961;Egyptische;1
410;Maarten Dijkshoorn;1950;Nederlandse;1
411;Narayanan Vaghul;1936;Indiase;1
412;Efrat Konforty;;;1
413;Pierre Bouchut;1955;Franse;1
414;Monique Caubo;1961;Nederlandse;1
415;Erik Engstrom;1963;Zweedse;1
416;Ronald Blom;1948;Nederlandse;1
417;Eelco Blok;1957;Nederlandse;1
418;René Hooft Graafland;1955;Nederlandse;1
419;Ruth Devenyns;1964;Belgische;1
420;Arvid Ladega;;;1
421;Joost Farwerck;1965;Nederlandse;1
422;Willem van Duin;1960;Nederlandse;1
423;Jan Kees de Jager;1969;Nederlandse;1
424;Wim Schimmel;1966;Nederlandse;1
425;Koos Hendriks;1949;Nederlandse;1
426;Theo Kiesselbach;;Duitse;1
427;Aad Veenman;1947;Nederlandse;1
428;Hielke Sybesma;;Nederlandse;1
429;Kee Koopmans;;Nederlandse;1
430;Jason Wright;;;1
431;Hans Stellingsma;1956;Nederlandse;1
432;Erik van Schie;;;1
433;Egbert Eeftink;1962;;1
434;Frederik Lotz;;;1
435;Peter Jaspers;;Nederlandse;1
436;Peter de Groot;;Nederlandse;1
437;Janet Stuijt;;Nederlandse;1
438;Dirk Jan van den Berg;1953;Nederlandse;1
439;Stefan Orlowski;1966;Australische;1
440;Ben van Beurden;1958;Nederlandse;1
441;Taco Titulaer;;Nederlandse;1
442;Arthur van der Poel;1948;Nederlandse;1
443;Alexander van der Lof;1958;Nederlandse;1
444;George Fink;1947;Amerikaanse;1
445;Peter Vermaat;;Nederlandse;1
446;Harold Goddijn;1960;Nederlandse;1
447;Karin de Jong;;Nederlandse;1
448;Annie Krist;;Nederlandse;1
449;Cees Veerman;1949;Nederlandse;1
450;Theo de Raad;1945;Nederlandse;1
451;Frank Rövekamp;1955;Nederlandse;1
452;Carina Benninga;;Nederlandse;1
453;Berry Marttin;1965;Nederlandse;1
454;Willy Simon;1951;Belgische;1
455;Tom de Swaan;1946;Nederlandse;1
456;Kees Hamster;1970;Nederlandse;1
457;Andrew Brown;1952;Britse;1
458;Leonhard Degle;1948;Duitse;1
459;Herman Spenkelink;1947;Nederlandse;1
460;Simone Heidema;1971;Nederlandse;1
461;Bruno Chabas;1964;Franse;1
462;Pieter Bootsma;1969;Nederlandse;1
463;Dirk de Groot;;;1
464;Arjen Dorland;1955;Nederlandse;1
465;Frans Eusman;1962;Nederlandse;1
466;Inge Ligthart;1963;Nederlandse;1
467;Heino von Prondzynski;1949;Duitse;1
468;Rob Becker;;;1
469;Edwin van de Ven;;Nederlandse;1
470;Jean-Louis Laurens;1954;Franse;1
471;Manfred Rüdiger;;;1
472;Jan van Rijt;1946;Nederlandse;1
473;Robin Clements;;Nederlandse;1
474;Byron Knief;;Amerikaanse;1
475;Aloys Kregting;1967;Nederlandse;1
476;Elling de Lange;;Nederlandse;1
477;Nick Luff;;Britse;1
478;Herman Keijsers;;Nederlandse;1
479;Hans van der Noordaa;1961;Nederlandse;1
480;Tom de Waard;1946;Nederlandse;1
481;Peter Berdowski;1957;Nederlandse;1
482;Will Lewis;;;1
483;Werner Cautreels;;Belgische;1
484;Johannes Fritz;1954;Duitse;1
485;Frank Thuis;1969;Nederlandse;1
486;Suzanne Nimocks;1959;Amerikaanse;1
487;Barry Glick;;Amerikaanse;1
488;Michel Wurth;1954;Franse;1
489;Frederieke Leeflang;;Nederlandse;1
490;Jan Pienaar;;;1
491;Bert Groenewegen;1965;Nederlandse;1
492;Kees van Lede;1942;Nederlandse;1
493;Alex Mandl;1943;Amerikaanse;1
494;Chris Van Steenbergen;;Belgische;1
495;Eric Meurice;1956;Franse;1
496;Rijkman Groenink;1949;Nederlandse;1
497;Pieter Jongstra;1956;Nederlandse;1
498;John van der Steen;1954;Nederlandse;1
499;Edwin Velzel;;Nederlandse;1
500;Antonio Campo;1957;;1
501;Sake Bosch;1969;Nederlandse;1
502;Robert W. Dineen;1949;Amerikaanse;1
503;Nathalie van Woerkom;1970;Nederlandse;1
504;Jeroen Snijders Blok;1959;Nederlandse;1
505;Kees van der Graaf;1950;Nederlandse;1
506;Christine Mummery;;Britse;1
507;Ewen Stevenson;;;1
508;Pieter Elbers;1970;Nederlandse;1
509;Charles Richard;;;1
510;Jos van Kessel;;Nederlandse;1
511;Hector Gorosabel;;Zwitserse;1
512;Ronald Lorijn;1951;Zwitserse;1
513;Steven Clausing;1971;Nederlandse;1
514;Harry van Rietschoten;1966;Nederlandse;1
515;Coby van der Linde;1957;Nederlandse;1
516;Nynke Dalstra;1969;Nederlandse;1
517;Steven Martina;;;1
518;Frans Cremers;1952;Nederlandse;1
519;Hugo van der Linde;;Nederlandse;1
520;Rob van Wingerden;1961;Nederlandse;1
521;Dirk de Lugt;;Nederlandse;1
522;Mathieu Vrijsen;1947;Nederlandse;1
523;Mel Kroon;1957;Nederlandse;1
524;George Roberts;1944;Amerikaanse;1
525;Luurt van der Ploeg;6;;1
526;John Fentener van Vlissingen;1939;Nederlandse;1
527;Tom Heidman;1959;Nederlandse;1
528;Daniel Metzger;;Amerikaanse;1
529;Jeannot Krecké;1950;Luxemburgse;1
530;Ab Klink;1958;Nederlandse;1
531;Margriet Tiemstra;1954;Nederlandse;1
532;Ton Hillen;1961;Nederlandse;1
533;Paul Polman;1956;Nederlandse;1
534;Roelof Konterman;1956;Nederlandse;1
535;Eelco Hoekstra;1971;Nederlandse;1
536;Aditya Mittal;1976;Indiase;1
537;Wolfgang Nickl;1969;Duitse;1
538;Martin Hoyos;;Duitse;1
539;Lex Hartman;1956;Nederlandse;1
540;Pieter de Jong;1964;Nederlandse;1
541;Arno van Bijnen;;Nederlandse;1
542;Jean Pierre Depaemelaere;;Belgische;1
543;Jos Streppel;1949;Nederlandse;1
544;Arjan Eleveld;1957;Nederlandse;1
545;Hans Schoen;1955;Nederlandse;1
546;Henk Schouten;;Nederlandse;1
547;Rudi Mariën;;Belgische;1
548;Wouter Kolk;;Nederlandse;1
549;Jacob Bartelds;;Nederlandse;1
550;Catherine Simoni;;;1
551;Ronald van de Laar;;;1
552;Just Spee;;Nederlandse;1
553;Wim van Sluis;1958;Nederlandse;1
554;Jan van der Zouw;1954;Nederlandse;1
555;Steven van Schilfgaarde;1964;Nederlandse;1
556;Peter Koppenol;;;1
557;Colette Cloosterman - Van Eerd;1966;Nederlandse;1
558;Eric van Amerongen;1953;Nederlandse;1
559;Julia van Nauta Lemke - Pears;;Nederlandse;1
560;Loek de Vries;1951;Nederlandse;1
561;Melchert Groot;1959;Nederlandse;1
562;Hanny Kemna;1960;Nederlandse;1
563;Francois Béharel;1970;Franse;1
564;Andrei Haret;;Roemeense;1
565;Edwin Bouwman;1967;Nederlandse;1
566;Huub Wezenberg;1965;Nederlandse;1
567;Ton Anbeek;1962;Nederlandse;1
568;Ton van Veen;1969;Nederlandse;1
569;Mirjam Sijmons;1960;Nederlandse;1
570;Thomas Schoewe;1952;Amerikaanse;1
571;Roel van Neerbos;;Nederlandse;1
572;Cor van den Bos;1952;Nederlandse;1
573;Jeanette Horan;1955;Britse;1
574;Casper Meijer;;;1
575;Marion Helmes;1965;Duitse;1
576;Jörn Aldag;1958;Zwitserse;1
577;Johnny Thijs;1952;Belgische;1
578;Jos van Lange;;Nederlandse;1
579;Marion Mestrom;;Nederlandse;1
580;Hans Snijders;;Nederlandse;1
581;Herta von Stiegel;;;1
582;Fred Mulder;1941;Nederlandse;1
583;Henk Groenen;1944;Nederlandse;1
584;Henry Kravis;1944;Amerikaanse;1
585;Lowick Barg;;;1
586;René Steenvoorden;;Nederlandse;1
587;Anthony Attia;;Franse;1
588;Robert Otto;1967;Nederlandse;1
589;Marco de Haas;1968;Nederlandse;1
590;Eddy van Rhede van der Kloot;;Nederlandse;1
591;Ton Lammers;;;1
592;Caroline van den Bosch;1965;;1
593;Phill Robinson;;Engelse;1
594;Erwin Wunnekink;1970;Nederlandse;1
595;Tjerk de Ruiter;;Nederlandse;1
596;Dona Young;1954;Amerikaanse;1
597;Patrick Groenen;;Nederlandse;1
598;Fieke van der Lecq;1966;Nederlandse;1
599;Wim Blijdorp;;Nederlandse;1
600;Paul Schouwenaar;1959;Nederlandse;1
601;Jan Vaandrager;1943;Nederlandse;1
602;Sandra Addink-Berendsen;1973;Nederlandse;1
603;Rozan Dekker;;Nederlandse;1
604;Kees Been;;;1
605;Philip Eykerman;;;1
606;Jaap van Manen;1950;Nederlandse;1
607;Joke van Lonkhuijzen-Hoekstra;1960;Nederlandse;1
608;Jessica Uhl;;Amerikaanse;1
609;Taco de Groot;1963;Nederlandse;1
610;Marnix van Ginneken;1973;Nederlandse;1
611;Boudewijn Molenaar;1953;Nederlandse;1
612;Cenk Duzyol;;;1
613;Philip Astley-Sparke;;;1
614;Martin Muhr;1965;Nederlandse;1
615;Frank Lagerveld;1961;Nederlandse;1
616;Boudewijn Beerkens;1963;Nederlandse;1
617;Bernd Stahli;1971;Nederlandse;1
618;Gerard van Olphen;1962;Nederlandse;1
619;Mark Stoffels;;;1
620;Allegra van Hövell-Patrizi;;Nederlandse;1
621;Norbert Quinkert;1943;Duitse;1
622;Ron Icke;1957;Nederlandse;1
623;Cees van Rijn;1947;Nederlandse;1
624;Hans Hettinga;;;1
625;Frans van Belle;;Nederlandse;1
626;Tjalling Tiemstra;1952;Nederlandse;1
627;Maja Sanders;1953;Nederlandse;1
628;Andy Michuda;;Amerikaanse;1
629;Barbara Geelen;1974;Nederlandse;1
630;Derk Haank;1953;Nederlandse;1
631;Michel Alsemgeest;;;1
632;André Bergen;1950;Belgische;1
633;Annemieke den Otter;;;1
634;Laurent Morel;;Franse;1
635;Rogier van Beek;1974;Nederlandse;1
636;Mathieu van den Hoogenband;1944;Nederlandse;1
637;Sander van 't Noordende;1963;Nederlandse;1
638;Mark Pigott;1954;Amerikaanse;1
639;Gosse Boon;1959;Nederlandse;1
